transactionDate,transactionAmount,transactionStatus
02/23/2015,472.39,Received
03/20/2015,516.05,Received
04/20/2015,354.71,Received
05/15/2015,155.53,Received
07/06/2015,159.03,Received
08/14/2015,64.48,Received
09/17/2015,61.77,Received
10/16/2015,65.00,Received
11/16/2015,93.27,Received
11/17/2015,106.71,Received
12/21/2015,58.97,Received
01/25/2016,267.49,Received
05/23/2016,1086.22,Received
07/20/2016,208.32,Received
08/22/2016,65.86,Received
09/19/2016,60.50,Received
10/19/2016,62.57,Received
11/21/2016,77.90,Received
